species label;genus label;family label;species;genus;family;classid
0;0;0;Unxia camphorata L.f.;Unxia;Compositae;102689
1;1;1;Connarus fasciculatus (DC.) Planch.;Connarus;Connaraceae;104587
2;2;2;Jacquemontia tamnifolia (L.) Griseb.;Jacquemontia;Convolvulaceae;105927
3;3;2;Maripa glabra Choisy;Maripa;Convolvulaceae;105951
4;3;2;Maripa violacea (Aubl.) Ooststr. ex Lanj. & Uittien;Maripa;Convolvulaceae;105965
5;4;2;Merremia umbellata (L.) Hallier f.;Merremia;Convolvulaceae;106023
6;5;3;Costus arabicus L.;Costus;Costaceae;106387
7;5;3;Costus claviger Benoist;Costus;Costaceae;106398
8;5;3;Costus erythrothyrsus Loes.;Costus;Costaceae;106413
9;5;3;Costus scaber Ruiz & Pav.;Costus;Costaceae;106461
10;5;3;Costus spiralis (Jacq.) Roscoe;Costus;Costaceae;106466
11;6;4;Bryophyllum pinnatum (Lam.) Oken;Bryophyllum;Crassulaceae;106690
12;7;5;Gurania reticulata Cogn.;Gurania;Cucurbitaceae;108581
13;8;5;Melothria pendula L.;Melothria;Cucurbitaceae;108743
14;9;6;Cyathea microdonta (Desv.) Domin;Cyathea;Cyatheaceae;109922
15;9;6;Cyathea pungens (Willd.) Domin;Cyathea;Cyatheaceae;109976
16;9;6;Cyathea surinamensis (Miq.) Domin;Cyathea;Cyatheaceae;110027
17;10;7;Evodianthus funifer (Poit.) Lindm.;Evodianthus;Cyclanthaceae;110432
18;11;8;Hymenocallis tubiflora Salisb.;Hymenocallis;Amaryllidaceae;11438
19;12;9;Pteridium arachnoideum (Kaulf.) Maxon;Pteridium;Dennstaedtiaceae;116853
20;13;10;Tapura guianensis Aubl.;Tapura;Dichapetalaceae;117064
21;14;11;Davilla kunthii A.St.-Hil.;Davilla;Dilleniaceae;117166
22;15;12;Cyclodium meniscioides (Willd.) C. Presl;Cyclodium;Dryopteridaceae;118800
23;16;12;Olfersia cervina (L.) Kunze;Olfersia;Dryopteridaceae;119986
24;17;12;Polybotrya caudata Kunze;Polybotrya;Dryopteridaceae;120031
25;17;12;Polybotrya osmundacea Humb. & Bonpl. ex Willd.;Polybotrya;Dryopteridaceae;120045
26;18;13;Diospyros capreifolia Mart. ex Hiern;Diospyros;Ebenaceae;120497
27;18;13;Diospyros carbonaria Benoist;Diospyros;Ebenaceae;120499
28;18;13;Diospyros cayennensis A.DC.;Diospyros;Ebenaceae;120508
29;18;13;Diospyros dichroa Sandwith;Diospyros;Ebenaceae;120562
30;18;13;Diospyros discolor Willd.;Diospyros;Ebenaceae;120569
31;18;13;Diospyros lissocarpoides Sandwith;Diospyros;Ebenaceae;120745
32;18;13;Diospyros matheriana A.C.Sm.;Diospyros;Ebenaceae;120786
33;18;13;Diospyros sericea A.DC.;Diospyros;Ebenaceae;120980
34;18;13;Diospyros tetrandra Hiern;Diospyros;Ebenaceae;121037
35;18;13;Diospyros vestita Benoist;Diospyros;Ebenaceae;121088
36;19;14;Sloanea eichleri K.Schum.;Sloanea;Elaeocarpaceae;121825
37;19;14;Sloanea grandiflora Sm.;Sloanea;Elaeocarpaceae;121836
38;19;14;Sloanea guianensis (Aubl.) Benth.;Sloanea;Elaeocarpaceae;121841
39;19;14;Sloanea latifolia (Rich.) K.Schum.;Sloanea;Elaeocarpaceae;121854
40;20;15;Anacardium occidentale L.;Anacardium;Anacardiaceae;12254
41;21;16;Cavendishia callista Donn.Sm.;Cavendishia;Ericaceae;122564
42;22;15;Mangifera indica L.;Mangifera;Anacardiaceae;12518
43;23;16;Sphyrospermum cordifolium Benth.;Sphyrospermum;Ericaceae;125412
44;24;17;Syngonanthus caulescens (Poir.) Ruhland;Syngonanthus;Eriocaulaceae;126895
45;25;17;Tonina fluviatilis Aubl.;Tonina;Eriocaulaceae;127007
46;26;18;Erythroxylum amazonicum Peyr.;Erythroxylum;Erythroxylaceae;127020
47;26;18;Erythroxylum fimbriatum Peyr.;Erythroxylum;Erythroxylaceae;127097
48;26;18;Erythroxylum macrophyllum Cav.;Erythroxylum;Erythroxylaceae;127151
49;26;18;Erythroxylum squamatum Sw.;Erythroxylum;Erythroxylaceae;127242
50;27;19;Conceveiba martiana Baill.;Conceveiba;Euphorbiaceae;128664
51;28;15;Spondias mombin L.;Spondias;Anacardiaceae;12910
52;29;15;Tapirira guianensis Aubl.;Tapirira;Anacardiaceae;12922
53;29;15;Tapirira obtusa (Benth.) J.D.Mitch.;Tapirira;Anacardiaceae;12924
54;30;15;Thyrsodium guianense Sagot ex Marchand;Thyrsodium;Anacardiaceae;12932
